iter	RMSE
0	480687.6105
1	436336.1534
2	393419.4363
3	360313.3992
4	332954.1575
5	304528.7686
6	281668.6182
7	264530.3451
8	244545.4145
9	226960.5166
10	212192.8191
11	198917.2485
12	186437.7852
13	176528.6172
14	166436.5375
15	157395.1618
16	149486.9223
17	143651.6475
18	137068.0678
19	131830.6227
20	126817.5195
21	122014.471
22	117639.6966
23	114366.0347
24	110297.8995
25	107052.8038
26	104833.0132
27	102764.643
28	100403.9612
29	98865.06629
30	97094.20905
31	95161.3356
32	93545.28457
33	92155.41564
34	90906.06948
35	89886.68964
36	88520.32907
37	87681.63657
38	86488.56448
39	85584.49309
40	84858.19305
41	83998.92589
42	83382.26385
43	82694.25139
44	81872.3347
45	81269.10011
46	80661.44527
47	80135.34306
48	79432.60284
49	78872.71694
50	78522.56608
51	77591.1868
52	76817.77792
53	76379.22199
54	75965.77255
55	75227.02571
56	74735.69196
57	74095.73847
58	73451.62106
59	72961.40119
60	72457.35193
61	72015.95149
62	71453.67243
63	71171.0773
64	70885.3039
65	70495.53506
66	70269.03773
67	70013.44412
68	69523.47209
69	69253.17052
70	68919.80709
71	68595.20006
72	68175.79269
73	67737.80975
74	67423.02618
75	66989.25034
76	66626.77581
77	66164.46852
78	65939.14623
79	65654.74561
80	65434.70943
81	64995.76292
82	64722.17917
83	64425.73022
84	64233.0241
85	63834.23099
86	63298.40607
87	62840.81801
88	62618.26562
89	62389.85559
90	62103.14766
91	61937.98143
92	61821.6663
93	61579.51712
94	61330.5466
95	61210.25604
96	61083.59961
97	60831.37022
98	60554.32621
99	60302.4646
100	60100.61565
101	59702.7598
102	59598.33906
103	59419.13009
104	59182.68166
105	59022.2309
106	58726.86351
107	58640.33668
108	58584.69584
109	58361.83399
110	58055.42589
111	57877.30348
112	57730.97495
113	57500.35547
114	57373.70852
115	57256.01269
116	56968.60096
117	56830.11341
118	56665.40988
119	56593.28398
120	56333.60271
121	56099.5851
122	55871.88957
123	55723.50885
124	55570.25336
125	55500.04167
126	55295.99732
127	55057.84537
128	54965.11676
129	54868.17838
130	54684.52932
131	54441.45834
132	54340.45574
133	54162.36208
134	54084.72447
135	53786.18304
136	53645.16743
137	53558.64696
138	53378.66013
139	53187.50665
140	52991.85854
141	52932.78968
142	52614.38833
143	52375.05997
144	52245.17277
145	52180.76447
146	52124.07672
147	51962.0237
148	51810.79584
149	51539.52933
150	51371.98159
151	51267.90231
152	51112.40967
153	50936.48989
154	50770.48917
155	50706.10652
156	50579.56175
157	50401.5674
158	50135.79332
159	50064.99878
160	50005.46407
161	49889.17933
162	49799.47639
163	49713.04321
164	49602.06992
165	49493.3714
166	49296.56258
167	49189.03761
168	49009.89018
169	48857.07317
170	48683.40551
171	48486.25146
172	48335.06774
173	48135.13637
174	47984.31248
175	47941.92576
176	47823.8903
177	47749.45451
178	47669.3447
179	47513.06933
180	47309.70894
181	47263.9677
182	47053.01866
183	46853.94753
184	46815.50403
185	46730.77301
186	46560.83278
187	46472.54448
188	46287.2739
189	46249.94956
190	46146.49553
191	45962.08643
192	45794.55752
193	45748.46979
194	45639.34656
195	45374.15889
196	45332.62283
197	45189.94565
198	45086.98916
199	44883.59632
