iter	Passed	Remaining
0	0	167
1	1	161
2	2	154
3	3	148
4	3	147
5	4	145
6	5	143
7	5	140
8	6	139
9	7	138
10	8	139
11	8	139
12	9	137
13	10	136
14	10	134
15	11	134
16	12	133
17	13	132
18	13	131
19	14	130
20	15	129
21	15	128
22	16	127
23	17	126
24	17	125
25	18	124
26	19	122
27	19	121
28	20	121
29	21	120
30	21	118
31	22	117
32	23	116
33	23	116
34	24	115
35	25	114
36	25	113
37	26	112
38	27	112
39	27	111
40	28	110
41	29	110
42	29	109
43	30	108
44	31	107
45	32	107
46	32	106
47	33	105
48	34	104
49	34	104
50	35	103
51	36	102
52	36	102
53	37	101
54	38	100
55	39	100
56	39	100
57	40	99
58	41	98
59	41	97
60	42	97
61	43	96
62	44	95
63	44	95
64	45	94
65	46	93
66	46	92
67	47	92
68	48	91
69	49	91
70	49	90
71	50	89
72	51	88
73	51	88
74	52	87
75	53	86
76	53	85
77	54	85
78	55	84
79	55	83
80	56	83
81	57	82
82	58	81
83	58	81
84	59	80
85	60	79
86	60	79
87	61	78
88	62	77
89	63	77
90	63	76
91	64	75
92	65	74
93	65	74
94	66	73
95	67	72
96	67	72
97	68	71
98	69	70
99	70	70
100	70	69
101	71	68
102	72	67
103	72	67
104	73	66
105	74	65
106	74	65
107	75	64
108	76	63
109	77	63
110	77	62
111	78	61
112	79	61
113	80	60
114	80	59
115	81	59
116	82	58
117	83	57
118	83	57
119	84	56
120	85	55
121	85	54
122	86	54
123	87	53
124	87	52
125	88	52
126	89	51
127	90	50
128	90	50
129	91	49
130	92	48
131	93	47
132	93	47
133	94	46
134	95	45
135	95	45
136	96	44
137	97	43
138	97	42
139	98	42
140	99	41
141	99	40
142	100	40
143	101	39
144	101	38
145	102	37
146	103	37
147	103	36
148	104	35
149	105	35
150	106	34
151	106	33
152	107	33
153	108	32
154	108	31
155	109	30
156	110	30
157	110	29
158	111	28
159	112	28
160	112	27
161	113	26
162	114	25
163	114	25
164	115	24
165	116	23
166	116	23
167	117	22
168	118	21
169	118	20
170	119	20
171	120	19
172	121	18
173	121	18
174	122	17
175	123	16
176	123	16
177	124	15
178	125	14
179	125	13
180	126	13
181	127	12
182	127	11
183	128	11
184	129	10
185	129	9
186	130	9
187	131	8
188	131	7
189	132	6
190	133	6
191	133	5
192	134	4
193	135	4
194	135	3
195	136	2
196	137	2
197	137	1
198	138	0
199	139	0
